"Date";"CDU";"SPD";"Grüne";"FDP";"Linke";"AFD";"Sonstige"
"2023-03-17";"29";"21,0";"19,0";"5,0";"5,0";"14";"7"
"2023-03-03";"29";"21,0";"18,0";"5,0";"5,0";"15";"7"
"2023-02-17";"30";"20,0";"19,0";"5,0";"5,0";"14";"7"
"2023-01-27";"27";"21,0";"19,0";"6,0";"6,0";"15";"6"
"2023-01-13";"27";"20,0";"21,0";"6,0";"6,0";"14";"6"
"2022-12-16";"28";"20,0";"20,0";"6,0";"5,0";"15";"6"
"2022-11-25";"28";"19,0";"22,0";"5,0";"6,0";"14";"6"
"2022-11-11";"28";"19,0";"22,0";"5,0";"5,0";"15";"6"
"2022-10-21";"28";"19,0";"21,0";"6,0";"5,0";"15";"6"
"2022-09-30";"27";"18,0";"22,0";"7,0";"5,0";"14";"7"
"2022-09-09";"28";"19,0";"23,0";"6,0";"5,0";"13";"6"
"2022-08-12";"26";"19,0";"26,0";"7,0";"4,0";"12";"6"
"2022-07-15";"26";"21,0";"25,0";"6,0";"5,0";"11";"6"
"2022-07-01";"27";"21,0";"25,0";"6,0";"5,0";"10";"6"
"2022-06-17";"26";"22,0";"25,0";"6,0";"5,0";"10";"6"
"2022-05-20";"26";"22,0";"24,0";"7,0";"4,0";"10";"7"
"2022-04-29";"23";"25,0";"21,0";"9,0";"4,0";"11";"7"
"2022-04-08";"24";"27,0";"19,0";"8,0";"4,0";"11";"7"
"2022-03-11";"24";"27,0";"18,0";"9,0";"5,0";"10";"7"
"2022-03-02";"24";"26,0";"17,0";"9,0";"6,0";"11";"7"
"2022-02-11";"25";"25,0";"16,0";"9,0";"6,0";"11";"8"
"2022-01-28";"23";"24,0";"18,0";"10,0";"7,0";"10";"8"
"2022-01-14";"22";"27,0";"16,0";"11,0";"6,0";"10";"8"
"2021-12-10";"21";"28,0";"17,0";"12,0";"5,0";"10";"7"
"2021-11-26";"19";"28,0";"17,0";"13,0";"5,0";"11";"7"
"2021-11-12";"20";"28,0";"16,0";"13,0";"5,0";"11";"7"
"2021-10-29";"20";"27,0";"16,0";"14,0";"5,0";"11";"7"
"2021-10-15";"19";"28,0";"17,0";"13,0";"5,0";"11";"7"
"2021-10-01";"20";"28,0";"16,0";"13,0";"5,0";"10";"8"
"2021-09-23";"23";"25,0";"16,5";"11,0";"6,0";"10";"8"
"2021-09-17";"22";"25,0";"16,0";"11,0";"6,0";"11";"9"
"2021-09-10";"22";"25,0";"17,0";"11,0";"6,0";"11";"8"
"2021-09-03";"22";"25,0";"17,0";"11,0";"7,0";"11";"7"
"2021-08-27";"22";"22,0";"20,0";"10,0";"6,0";"11";"9"
"2021-08-13";"26";"19,0";"19,0";"11,0";"7,0";"11";"7"
"2021-07-30";"28";"16,0";"21,0";"10,0";"7,0";"11";"7"
"2021-07-16";"30";"15,0";"20,0";"10,0";"7,0";"10";"8"
"2021-06-25";"29";"14,0";"22,0";"10,0";"7,0";"10";"8"
"2021-06-10";"28";"15,0";"22,0";"10,0";"7,0";"11";"7"
"2021-05-21";"24";"14,0";"25,0";"11,0";"7,0";"11";"8"
"2021-05-07";"25";"14,0";"26,0";"10,0";"7,0";"11";"7"
"2021-04-16";"31";"14,0";"21,0";"9,0";"7,0";"11";"7"
"2021-03-26";"28";"15,0";"23,0";"9,0";"7,0";"12";"6"
"2021-02-26";"35";"16,0";"19,0";"7,0";"7,0";"10";"6"
"2021-01-28";"37";"15,0";"20,0";"6,0";"7,0";"9";"6"
"2021-01-15";"37";"15,0";"20,0";"5,0";"8,0";"10";"5"
"2020-12-10";"37";"16,0";"20,0";"5,0";"8,0";"10";"4"
"2020-11-27";"37";"16,0";"21,0";"5,0";"7,0";"9";"5"
"2020-11-13";"37";"16,0";"20,0";"5,0";"7,0";"9";"6"
"2020-10-23";"38";"15,0";"20,0";"5,0";"8,0";"9";"5"
"2020-10-09";"37";"16,0";"20,0";"5,0";"7,0";"10";"5"
"2020-09-17";"37";"17,0";"19,0";"5,0";"7,0";"10";"5"
"2020-08-28";"38";"16,0";"19,0";"5,0";"8,0";"9";"5"
"2020-07-31";"38";"14,0";"21,0";"5,0";"8,0";"9";"5"
"2020-07-10";"39";"15,0";"20,0";"5,0";"7,0";"9";"5"
"2020-06-26";"40";"15,0";"19,0";"5,0";"7,0";"9";"5"
"2020-06-12";"39";"15,0";"20,0";"4,0";"7,0";"9";"6"
"2020-05-29";"39";"15,0";"19,0";"4,0";"8,0";"9";"6"
"2020-05-15";"38";"15,0";"18,0";"5,0";"8,0";"10";"6"
"2020-04-24";"39";"16,0";"18,0";"5,0";"7,0";"9";"6"
"2020-04-09";"35";"17,0";"20,0";"5,0";"7,0";"10";"6"
"2020-03-27";"33";"15,0";"22,0";"6,0";"8,0";"10";"6"
"2020-03-06";"26";"16,0";"23,0";"6,0";"8,0";"14";"7"
"2020-02-07";"27";"14,0";"22,0";"6,0";"10,0";"14";"7"
"2020-01-16";"27";"14,0";"23,0";"7,0";"9,0";"14";"6"
"2019-12-13";"27";"13,0";"23,0";"8,0";"9,0";"14";"6"
"2019-11-29";"27";"13,0";"23,0";"7,0";"10,0";"14";"6"
"2019-11-08";"27";"14,0";"22,0";"7,0";"10,0";"14";"6"
"2019-10-18";"29";"14,0";"24,0";"6,0";"8,0";"13";"6"
"2019-09-27";"27";"13,0";"27,0";"6,0";"7,0";"14";"6"
"2019-09-05";"28";"15,0";"24,0";"6,0";"7,0";"13";"7"
"2019-08-09";"28";"13,0";"25,0";"7,0";"7,0";"13";"7"
"2019-07-19";"28";"13,0";"25,0";"8,0";"8,0";"12";"6"
"2019-06-21";"27";"14,0";"26,0";"7,0";"7,0";"13";"6"
"2019-06-06";"27";"13,0";"26,0";"7,0";"7,0";"13";"7"
"2019-05-10";"30";"16,0";"20,0";"7,0";"8,0";"14";"5"
"2019-04-12";"28";"17,0";"20,0";"8,0";"9,0";"13";"5"
"2019-03-28";"30";"15,0";"19,0";"9,0";"9,0";"13";"5"
"2019-03-15";"31";"16,0";"19,0";"8,0";"8,0";"12";"6"
"2019-02-22";"31";"15,0";"20,0";"7,0";"9,0";"13";"5"
"2019-02-08";"30";"16,0";"20,0";"8,0";"9,0";"12";"5"
"2019-01-25";"31";"14,0";"20,0";"8,0";"9,0";"13";"5"
"2019-01-11";"29";"14,0";"21,0";"8,0";"9,0";"14";"5"
"2018-12-14";"30";"15,0";"19,0";"7,0";"9,0";"15";"5"
"2018-11-23";"27";"14,0";"22,0";"8,0";"9,0";"16";"4"
"2018-11-09";"27";"14,0";"22,0";"9,0";"9,0";"14";"5"
"2018-10-19";"27";"14,0";"20,0";"8,0";"10,0";"16";"5"
"2018-09-28";"28";"17,0";"17,0";"8,0";"10,0";"16";"4"
"2018-09-14";"30";"20,0";"16,0";"7,0";"8,0";"15";"4"
"2018-08-31";"31";"18,0";"14,0";"8,0";"8,0";"17";"4"
"2018-08-10";"31";"18,0";"15,0";"8,0";"9,0";"16";"3"
"2018-07-13";"31";"18,0";"14,0";"7,0";"11,0";"15";"4"
"2018-06-29";"32";"18,0";"14,0";"9,0";"10,0";"14";"3"
"2018-06-08";"33";"20,0";"13,0";"8,0";"10,0";"13";"3"
"2018-05-18";"34";"20,0";"12,0";"8,0";"9,0";"14";"3"
"2018-04-27";"34";"20,0";"13,0";"7,0";"10,0";"13";"3"
"2018-04-13";"33";"19,0";"14,0";"8,0";"9,0";"13";"4"
"2018-03-16";"32";"19,0";"12,0";"9,0";"11,0";"13";"4"
"2018-02-23";"33";"17,0";"12,0";"8,0";"11,0";"14";"5"
"2018-02-02";"31";"19,0";"14,0";"7,0";"11,0";"14";"4"
"2018-01-19";"33";"20,0";"12,0";"8,0";"10,0";"12";"5"
"2017-12-08";"32";"23,0";"12,0";"8,0";"9,0";"12";"4"
"2017-11-17";"33";"21,0";"12,0";"10,0";"9,0";"11";"4"
