"Date";"CDU";"SPD";"Grüne";"FDP";"Linke";"AFD";"Sonstige"
"2023-03-21";"29";"19";"18";"6,0";"5,0";"14";"9"
"2023-03-14";"29";"20";"17";"6,0";"5,0";"14";"9"
"2023-03-07";"31";"20";"17";"5,0";"5,0";"13";"9"
"2023-02-28";"31";"20";"17";"5,0";"5,0";"13";"9"
"2023-02-21";"31";"19";"17";"6,0";"5,0";"13";"9"
"2023-02-14";"28";"21";"18";"6,0";"5,0";"13";"9"
"2023-02-07";"28";"21";"18";"7,0";"5,0";"13";"8"
"2023-01-31";"27";"20";"19";"7,0";"5,0";"13";"9"
"2023-01-24";"28";"19";"20";"7,0";"5,0";"12";"9"
"2023-01-17";"28";"18";"20";"7,0";"5,0";"13";"9"
"2023-01-10";"29";"18";"20";"7,0";"5,0";"13";"8"
"2022-12-20";"28";"19";"19";"7,0";"5,0";"13";"9"
"2022-12-13";"29";"19";"19";"7,0";"5,0";"12";"9"
"2022-12-06";"29";"19";"19";"7,0";"5,0";"12";"9"
"2022-11-29";"29";"19";"20";"6,0";"5,0";"12";"9"
"2022-11-22";"28";"19";"20";"6,0";"5,0";"13";"9"
"2022-11-15";"28";"19";"20";"6,0";"4,0";"14";"9"
"2022-11-08";"28";"19";"19";"6,0";"5,0";"14";"9"
"2022-11-02";"27";"20";"20";"6,0";"4,0";"14";"9"
"2022-10-25";"28";"19";"20";"6,0";"4,0";"14";"9"
"2022-10-18";"27";"20";"20";"6,0";"4,0";"14";"9"
"2022-10-11";"28";"18";"20";"6,0";"5,0";"14";"9"
"2022-10-04";"28";"18";"20";"6,0";"5,0";"14";"9"
"2022-09-27";"28";"18";"20";"7,0";"5,0";"13";"9"
"2022-09-20";"28";"19";"19";"7,0";"5,0";"13";"9"
"2022-09-13";"28";"19";"20";"6,0";"5,0";"13";"9"
"2022-09-06";"26";"18";"24";"7,0";"5,0";"11";"9"
"2022-08-30";"26";"17";"25";"7,0";"5,0";"11";"9"
"2022-08-23";"26";"18";"25";"7,0";"4,0";"11";"9"
"2022-08-16";"26";"18";"25";"6,0";"4,0";"11";"10"
"2022-08-09";"26";"18";"24";"7,0";"5,0";"10";"10"
"2022-08-02";"27";"18";"24";"7,0";"5,0";"10";"9"
"2022-07-26";"26";"19";"24";"6,0";"5,0";"10";"10"
"2022-07-19";"26";"20";"24";"6,0";"5,0";"9";"10"
"2022-07-12";"26";"19";"24";"7,0";"5,0";"9";"10"
"2022-07-05";"26";"20";"24";"8,0";"4,0";"9";"9"
"2022-06-28";"26";"20";"24";"8,0";"4,0";"9";"9"
"2022-06-21";"28";"19";"23";"8,0";"4,0";"9";"9"
"2022-06-14";"27";"20";"23";"8,0";"4,0";"9";"9"
"2022-06-07";"27";"19";"23";"8,0";"4,0";"10";"9"
"2022-05-31";"29";"19";"24";"7,0";"4,0";"9";"8"
"2022-05-24";"28";"21";"23";"7,0";"4,0";"9";"8"
"2022-05-17";"27";"22";"22";"8,0";"4,0";"8";"9"
"2022-05-10";"26";"23";"21";"9,0";"4,0";"9";"8"
"2022-05-03";"26";"23";"20";"9,0";"4,0";"9";"9"
"2022-04-26";"25";"24";"20";"9,0";"4,0";"9";"9"
"2022-04-19";"25";"25";"20";"8,0";"4,0";"9";"9"
"2022-04-12";"24";"27";"19";"8,0";"4,0";"9";"9"
"2022-04-05";"24";"27";"19";"8,0";"4,0";"9";"9"
"2022-03-29";"26";"24";"18";"9,0";"5,0";"9";"9"
"2022-03-22";"27";"23";"18";"10,0";"5,0";"9";"8"
"2022-03-15";"26";"25";"18";"9,0";"5,0";"9";"8"
"2022-03-08";"25";"26";"18";"9,0";"6,0";"7";"9"
"2022-03-01";"26";"25";"18";"9,0";"6,0";"7";"9"
"2022-02-22";"27";"23";"17";"9,0";"6,0";"9";"9"
"2022-02-15";"27";"23";"16";"9,0";"6,0";"9";"10"
"2022-02-08";"27";"22";"16";"9,0";"6,0";"10";"10"
"2022-02-01";"27";"23";"16";"9,0";"6,0";"10";"9"
"2022-01-25";"24";"25";"16";"10,0";"6,0";"10";"9"
"2022-01-18";"25";"25";"16";"10,0";"5,0";"10";"9"
"2022-01-11";"25";"25";"17";"10,0";"5,0";"9";"9"
"2021-12-21";"24";"26";"16";"10,0";"5,0";"9";"10"
"2021-12-14";"23";"26";"15";"11,0";"5,0";"10";"10"
"2021-12-07";"22";"25";"17";"11,0";"5,0";"10";"10"
"2021-11-30";"22";"24";"17";"12,0";"5,0";"10";"10"
"2021-11-23";"22";"24";"17";"12,0";"5,0";"10";"10"
"2021-11-16";"22";"24";"17";"12,0";"5,0";"10";"10"
"2021-11-09";"22";"25";"16";"14,0";"5,0";"9";"9"
"2021-11-02";"21";"25";"16";"15,0";"5,0";"9";"9"
"2021-10-26";"20";"25";"17";"16,0";"5,0";"9";"8"
"2021-10-19";"20";"26";"16";"15,0";"5,0";"9";"9"
"2021-10-12";"20";"26";"16";"14,0";"5,0";"9";"10"
"2021-10-05";"20";"26";"16";"14,0";"5,0";"9";"10"
"2021-09-24";"22";"25";"17";"12,0";"6,0";"10";"8"
"2021-09-21";"22";"25";"17";"11,0";"6,0";"11";"8"
"2021-09-14";"21";"25";"17";"11,0";"6,0";"11";"9"
"2021-09-07";"19";"25";"17";"13,0";"6,0";"11";"9"
"2021-08-31";"21";"23";"18";"12,0";"6,0";"11";"9"
"2021-08-24";"22";"23";"18";"12,0";"6,0";"10";"9"
"2021-08-18";"23";"21";"19";"12,0";"6,0";"10";"9"
"2021-08-11";"23";"19";"20";"12,0";"7,0";"10";"9"
"2021-08-03";"26";"16";"20";"13,0";"6,0";"10";"9"
"2021-07-28";"26";"15";"21";"13,0";"7,0";"10";"8"
"2021-07-21";"28";"16";"19";"12,0";"7,0";"10";"8"
"2021-07-14";"30";"15";"19";"12,0";"7,0";"9";"8"
"2021-07-07";"30";"15";"19";"11,0";"7,0";"10";"8"
"2021-06-30";"30";"14";"20";"12,0";"7,0";"9";"8"
"2021-06-23";"29";"15";"21";"13,0";"6,0";"9";"7"
"2021-06-16";"28";"14";"21";"14,0";"7,0";"9";"7"
"2021-06-09";"27";"14";"22";"14,0";"6,0";"9";"8"
"2021-06-02";"25";"14";"24";"14,0";"6,0";"9";"8"
"2021-05-26";"24";"14";"25";"13,0";"6,0";"10";"8"
"2021-05-19";"24";"15";"26";"11,0";"6,0";"10";"8"
"2021-05-12";"24";"15";"27";"11,0";"6,0";"10";"7"
"2021-05-12";"24";"15";"27";"11,0";"6,0";"10";"7"
"2021-05-05";"23";"14";"28";"12,0";"6,0";"10";"7"
"2021-04-28";"22";"13";"28";"12,0";"7,0";"11";"7"
"2021-04-20";"21";"13";"28";"12,0";"7,0";"11";"8"
"2021-04-20";"28";"15";"23";"10,0";"6,0";"11";"7"
"2021-04-14";"27";"15";"23";"9,0";"8,0";"11";"7"
"2021-04-07";"27";"15";"23";"10,0";"7,0";"10";"8"
"2021-03-31";"27";"15";"23";"10,0";"7,0";"11";"7"
"2021-03-24";"26";"16";"22";"10,0";"8,0";"10";"8"
"2021-03-17";"29";"16";"21";"8,0";"8,0";"10";"8"
"2021-03-10";"33";"16";"18";"8,0";"8,0";"10";"7"
"2021-03-02";"34";"16";"19";"7,0";"8,0";"9";"7"
"2021-02-23";"35";"16";"19";"8,0";"7,0";"8";"7"
"2021-02-16";"35";"16";"19";"7,0";"8,0";"8";"7"
"2021-02-09";"37";"15";"19";"7,0";"7,0";"8";"7"
"2021-02-02";"37";"15";"19";"6,0";"8,0";"8";"7"
"2021-01-26";"37";"15";"18";"7,0";"7,0";"9";"7"
"2021-01-18";"35";"15";"19";"7,0";"8,0";"9";"7"
"2021-01-18";"35";"15";"20";"6,0";"8,0";"9";"7"
"2021-01-09";"36";"14";"20";"7,0";"8,0";"8";"7"
"2020-12-26";"36";"15";"18";"6,0";"9,0";"9";"7"
"2020-12-19";"37";"15";"19";"6,0";"8,0";"8";"7"
"2020-12-12";"37";"15";"20";"5,0";"8,0";"8";"7"
"2020-12-05";"36";"15";"20";"6,0";"8,0";"8";"7"
"2020-11-28";"37";"15";"21";"6,0";"8,0";"7";"6"
