Date,CDU,SPD,Grüne,FDP,Linke,AFD,Sonstige
2023-02-15,30,22.5,16,7.5,4,14,6
2023-01-26,31,21,17,6,4.5,14,6.5
2022-12-21,30,22,18,7.5,4.5,12,6
2022-11-24,29.5,20,20,7,4,14,5.5
2022-10-20,30.5,19,19,7,5,14,5.5
2022-09-16,30,20,19,7,5.5,13,5.5
2022-08-24,29,19.5,21,8,5,12,5.5
2022-07-27,27.5,22,22,7,5,11,5.5
2022-06-22,27,23,22,8,4.5,10,5.5
2022-05-27,29,24,20.5,8,4.5,9,5
2022-04-13,24,28,17,9,6,9,7
2022-03-24,25,25,17,10.5,5,10,7.5
2022-02-24,27,25,15,10.5,6,10,6.5
2022-01-26,23,27.5,14.5,12.5,5.5,10,7
2021-12-22,24,26,15,13,5,10.5,6.5
2021-11-18,23,27,15,14,5.5,9.5,6
2021-10-20,21,28,15,14,5,9.5,7.5
2021-09-24,25,26,16,10.5,5,10,7.5
2021-09-08,25,27,15.5,9.5,6,11,6
2021-08-28,26,24,17,10.5,6,10.5,6
2021-08-19,27.5,19.5,17.5,11,7.5,11,6
2021-07-28,30,16,19.5,12,7,9.5,6
2021-07-20,31.5,16.5,18,12,6.5,9.5,6
2021-06-16,29.5,17,21.5,11,7,9,5
2021-05-19,27.5,16,24,10,6.5,10,6
2021-04-21,28,16.5,23,10,7.5,9.5,5.5
2021-03-24,28.5,18,21.5,8.5,8.5,10,5
2021-02-25,37,15,20,7,7,9.5,4.5
2021-01-28,37,16,20,6.5,7.5,9,4
2020-12-16,37,16.5,19,7,7,9,4.5
2020-11-18,37,17,18,6.5,7.5,9.5,4.5
2020-10-23,35.5,17,20,6,7,10,4.5
2020-09-22,37,17,19.5,6,7,9,4.5
2020-08-27,38,17,19,5.5,7,9,4.5
2020-07-22,38,15.5,20,5.5,7.5,9,4.5
2020-06-18,40,16,18.5,4.5,7,9.5,4.5
2020-05-22,38,15.5,19,5.5,7,9,6
2020-04-24,38,16,19,6,7,9,5
2020-03-25,29,16.5,23,7,8,11.5,5
2020-02-19,27.5,14.5,23,8,9.5,13,4.5
2020-01-29,28.5,14,23.5,8,8,13,5
2019-12-19,28.5,15,21,7,8.5,15,5
2019-11-19,29.5,14,21.5,7.5,8,14.5,5
2019-10-16,29.5,16,23.5,6.5,7,13,4.5
2019-09-17,29,15,22,7,8,14,5
2019-08-21,29.5,13.5,24,7,8,12.5,5.5
2019-07-24,29.5,14.5,23,7,8.5,11.5,6
2019-06-21,29,12,25,8,8,12,6
2019-05-23,30,17.5,17,9,8.5,13,5
2019-04-18,30,18.5,18,9,8,12.5,4
2019-03-27,30,18,19,8.5,8.5,12,4
2019-02-19,30,18,18.5,8,8,13.5,4
2019-01-23,31.5,16.5,18,8.5,8.5,13,4
2018-12-20,29,16.5,19,8.5,9,14,4
2018-11-30,28,17,19,9.5,9,13.5,4
2018-10-18,29,19,15,8.5,9,15,4.5
2018-09-18,31.5,19.5,12.5,8.5,9,15,4
2018-08-15,31,20,12.5,9,9,14.5,4
2018-07-17,30.5,20,12,9.5,9,15,4
2018-06-20,33,21,11,9.5,9.5,13,3
2018-05-17,34,20,11,9,10,11.5,4.5
2018-04-25,34,20.5,11,10,9,12,3.5
2018-03-21,34,19,11,10,10,12.5,3.5
2018-02-23,32,17.5,12,11,9.5,13,5
2018-01-25,34,21,10.5,10,8.5,12,4
2017-12-21,34,21,11.5,10,9,11,3.5
2017-11-30,33,21.5,11,10,9,11,4.5
2017-10-25,33,20.5,9.5,12,9,12,4
2017-09-22,36,22,8,10.5,9.5,10,4
2017-09-19,36.5,22,8,11,9,10,3.5
2017-09-06,38.5,24,7.5,10,8,8,4
2017-08-22,39.5,24,7.5,10,8,7,4
2017-07-18,39.5,25,7,9,9,7,3.5
2017-06-20,40,24,7,10.5,8.5,6.5,3.5
2017-05-26,37,26,8,9,8,8,4
2017-04-25,36,31,7,6,9,7,4
2017-03-28,34,33,7.5,6.5,8,7,4
2017-02-22,33,30.5,8,7,8,8.5,5
2017-01-26,36,23,9,7,9.5,11.5,4
2016-12-22,35.5,22,10,7.5,9.5,10.5,5
2016-11-16,34,23,11,7.5,9,10.5,5
2016-10-20,33,22,12,7.5,9,12.5,4
2016-09-22,33.5,24,11,7,7,12.5,5
2016-08-24,34.5,23,11.5,7.5,9,10,4.5
2016-07-21,35.5,22.5,12,7,9.5,9.5,4
2016-06-15,33.5,21,12,8,9,11.5,5
2016-05-17,33.5,21,11.5,8,9,12.5,4.5
2016-04-20,33.5,23,11,8,9,10.5,5
2016-03-18,35,24.5,10,7,9,10.5,4
2016-02-17,33.5,24,10,7,10,10.5,5
2016-01-26,35,25,9,6.5,9.5,10,5
2015-12-16,38,26,9.5,5,8.5,8,5
2015-11-19,37.5,26,9.5,5.5,9.5,7,5
2015-10-20,38,26,9.5,5.5,9,7,5
2015-09-16,42,25.5,9.5,6,8.5,3.5,5
2015-08-19,41.5,26,9.5,5.5,9,3.5,5
2015-07-16,40.5,25.5,10,5.5,9.5,4,5
2015-06-18,41.5,26,10,5,8.5,4,5
2015-05-21,41.5,25.5,9.5,5,9,5,4.5
2015-04-16,40.5,26.5,9.5,5,8.5,6,4
2015-03-19,41.5,26,9.5,5,8,6,4
2015-02-19,41,25.5,9.5,5,9,6,4
2015-01-28,41.5,25,10.5,4,8.5,6,4.5
2014-12-17,40.5,26,9.5,3.5,8.5,7,5
2014-11-19,40.5,27,9.5,3.5,8,6.5,5
2014-10-21,39.5,26,10.5,3,8.5,7.5,5
2014-09-17,41,25.5,10,4,8.5,6.5,4.5
2014-08-20,41,26.5,10,3,8,6.5,5
2014-07-16,40.5,25,11,3.5,8.5,6,5.5
2014-06-20,40,26,10,4,8,6,6
2014-05-14,39.5,26,10.5,5,8,5.5,5.5
2014-04-16,40,26.5,11,4.5,8,5,5
2014-03-19,40.5,25,10,5,9,5,5.5
2014-02-20,40,26.5,10.5,4,9,5,5
2014-01-29,40,26,10,5,8.5,5,5.5
2013-12-19,41.5,25.5,10.5,4,9,4.5,5
2013-11-27,40,26.5,10,4,9.5,5,5
2013-10-23,41,25,9,5,9,5.5,5.5
2013-09-20,39.5,27,9,5.5,9,4.5,5.5
2013-09-18,39,26,11,6,9,3.5,5.5
2013-09-04,40,25,12.5,6,7.5,3,6
2013-08-21,39,24.5,13.5,7,7,3,6
2013-07-12,40,25.5,12.5,6.5,6,3.5,6
2013-06-19,38,26,14,6,7,3,6
2013-05-22,39,27,13,6,6,3.5,5.5
2013-05-03,38.5,26,15,5.5,6,3.5,5.5
2013-04-17,38.5,28,15,5,7,0,6.5
2013-03-20,39.5,26.5,15.5,6,6,0,6.5
2013-02-20,39,27,15,6,6.5,0,6.5
2013-01-23,39,28,14,5,7,0,7
2012-12-19,37.5,30,14,4.5,6.5,0,7.5
2012-11-21,37.5,31,12.5,4,6.5,0,8.5
2012-10-17,35.5,31,14,4.5,6,0,9
2012-09-26,34,30,14,5.5,6.5,0,10
2012-08-22,35,28,15,5.5,6,0,10.5
2012-07-18,36,27,14,6,6,0,11
2012-06-20,34,28,15.5,5.5,5,0,12
2012-05-23,35.5,30,14,4.5,5.5,0,10.5
2012-04-18,34.5,28,14,3.5,7,0,13
2012-03-21,35,30,16,3.5,7,0,8.5
2012-02-22,36,28,15.5,4.5,7.5,0,8.5
2012-01-25,35,29,16.5,4,7,0,8.5
2011-12-13,34,30,16,4,7,0,9
2011-11-16,32,30,17,4.5,8,0,8.5
2011-10-19,31,30.5,17.5,4.5,7.5,0,9
2011-09-21,33.5,28.5,19,5,8,0,6
2011-08-16,33,29,20,4.5,7.5,0,6
2011-07-20,34,27,20,5.5,7.5,0,6
2011-06-22,34.5,27.5,21,4.5,7,0,5.5
2011-05-18,33,27,22,5.5,6.5,0,6
2011-04-19,32,28,23,5,7,0,5
2011-03-16,36.5,29,15,6.5,8,0,5
2011-02-23,36,28.5,16.5,6.5,7.5,0,5
2011-01-25,34.5,27.5,18,5.5,8.5,0,6
2010-12-21,34,28.5,18.5,6,8,0,5
2010-11-24,32,27.5,19.5,6,9,0,6
2010-10-20,30.5,28,20.5,5.5,9.5,0,6
2010-09-21,32.5,29.5,18.5,6.5,8,0,5
2010-08-17,31,32,17,6,8.5,0,5.5
2010-07-20,31.5,31.5,15.5,6.5,9.5,0,5.5
2010-06-23,32,29,15.5,7,11,0,5.5
2010-05-26,32,28.5,14.5,8.5,10,0,6.5
2010-04-28,35,27.5,13.5,9,9.5,0,5.5
2010-03-24,36,25.5,13,9,11,0,5.5
2010-02-23,37,23.5,13.5,10.5,10.5,0,5
2010-01-27,34.5,25,11.5,13,11,0,5
2009-12-16,34.5,24,11,13.5,12,0,5
2009-11-25,35.5,23,11,14,11.5,0,5
2009-10-28,35,23,10.5,14,12,0,5.5
2009-09-22,35,24,11,13.5,11.5,NA,5
2009-09-15,36,22.5,12,12.5,12,NA,5
2009-09-09,35,22.5,13,13,11.5,NA,5
2009-09-01,35.5,23,13.5,14,9.5,NA,4.5
2009-08-18,36.5,23,13,14.5,9,NA,4
2009-07-21,36.5,24,12,13.5,10,NA,4
2009-06-16,36,24.5,11.5,14.5,9.5,NA,4
2009-05-19,36.5,26,10.5,13.5,9.5,NA,4
2009-04-21,37.5,24.5,10.5,13.5,10,NA,4
2009-03-24,34.8,26.1,10.5,14.5,10,NA,4.1
2009-02-24,35.6,24.7,11,14.8,10.8,NA,3.1
2009-01-27,36.1,26.9,9.6,12.1,11.5,NA,3.8
