Date,SPD,CDU,Grüne,FDP,AFD,Linke,Sonstige
2023-03-02,18,31,17,6,14,5,9
2023-02-17,19,29,17,6,15,5,9
2023-02-02,20,27,18,7,15,4,9
2023-01-19,19,29,19,6,14,4,9
2023-01-05,18,29,19,6,15,5,8
2022-12-09,18,29,18,6,15,5,9
2022-12-01,18,30,18,5,15,5,9
2022-11-11,18,28,19,7,14,4,10
2022-11-03,19,28,19,6,14,5,9
2022-10-14,19,26,20,6,15,5,9
2022-10-06,17,28,19,7,15,5,9
2022-09-16,17,28,21,7,14,5,8
2022-09-01,17,27,22,8,13,5,8
2022-08-19,18,28,23,7,12,4,8
2022-08-04,17,28,23,7,13,4,8
2022-07-22,19,27,22,7,12,4,9
2022-07-07,19,27,23,8,11,4,8
2022-06-24,20,26,23,8,12,4,7
2022-06-02,21,27,21,8,11,4,8
2022-05-13,22,26,20,8,11,4,9
2022-04-28,24,26,18,9,11,3,9
2022-04-14,24,26,18,8,11,4,9
2022-04-07,24,25,19,9,11,4,8
2022-03-18,25,26,17,9,11,4,8
2022-03-03,25,26,16,9,11,5,8
2022-02-18,24,26,15,9,12,5,9
2022-02-03,22,27,16,10,12,5,8
2022-01-21,25,24,16,10,12,5,8
2022-01-06,26,23,16,11,11,5,8
2021-12-10,26,23,16,12,11,5,7
2021-12-02,25,23,17,12,11,5,7
2021-11-26,25,21,17,13,11,5,8
2021-11-04,27,21,16,13,10,5,8
2021-10-29,26,22,16,13,10,4,9
2021-09-16,26,22,15,11,11,6,6
2021-09-02,25,20,16,13,12,6,8
2021-08-20,21,23,17,13,11,7,8
2021-08-05,18,27,19,12,10,6,8
2021-07-23,16,29,19,12,10,6,8
2021-07-01,15,28,20,11,11,7,8
2021-06-25,15,28,21,11,12,6,4
2021-06-10,14,28,20,12,12,7,7
2021-05-14,15,24,25,12,11,7,6
2021-05-06,14,23,26,11,12,6,5
2021-04-16,15,28,21,11,11,7,7
2021-04-01,16,27,22,9,11,7,8
2021-03-19,17,29,20,9,11,7,7
2021-03-04,16,33,20,7,11,7,6
2021-02-19,16,33,20,8,11,6,6
2021-02-04,15,34,21,8,10,6,6
2021-01-22,15,34,21,7,10,6,7
2021-01-07,14,35,21,7,10,7,6
2020-12-11,16,36,20,6,9,7,6
2020-12-03,15,36,21,6,10,7,5
2020-11-27,15,35,21,7,11,7,4
2020-11-12,15,36,20,6,10,7,6
2020-10-16,15,35,20,6,11,7,6
2020-10-01,15,35,21,6,10,8,5
2020-09-18,16,36,20,5,10,8,5
2020-09-03,17,36,19,6,10,7,5
2020-08-21,16,37,17,6,10,8,6
2020-08-06,15,38,18,6,11,7,5
2020-07-24,14,37,20,5,11,7,6
2020-07-02,16,37,20,5,10,7,5
2020-06-26,16,37,20,5,10,7,5
2020-06-04,15,38,19,6,9,8,5
2020-05-15,15,38,18,6,10,7,6
2020-05-07,16,39,18,5,9,8,5
2020-04-17,17,38,19,5,9,7,5
2020-04-02,16,34,22,5,10,7,6
2020-03-20,14,30,23,7,10,9,7
2020-03-05,16,27,23,6,12,9,7
2020-02-13,16,26,22,7,14,9,6
2020-02-06,14,27,22,8,14,9,6
2020-01-24,14,26,24,8,14,8,6
2020-01-09,13,27,23,9,14,8,6
2019-12-13,14,27,21,8,15,8,7
2019-12-05,13,25,23,9,15,8,7
2019-11-15,15,25,22,7,14,9,8
2019-11-07,14,26,22,8,14,9,7
2019-10-18,14,28,22,7,14,8,7
2019-10-11,13,28,24,7,14,8,6
2019-09-20,14,27,23,8,14,8,6
2019-09-05,14,27,23,7,15,7,7
2019-08-23,14,26,25,7,14,7,7
2019-08-01,12,26,26,8,14,7,7
2019-07-26,13,26,26,9,12,8,6
2019-07-04,13,25,26,8,13,8,7
2019-06-28,13,26,25,9,12,7,8
2019-06-06,12,25,26,8,13,7,9
2019-05-17,17,29,18,8,13,8,7
2019-05-02,18,28,20,8,12,9,5
2019-04-18,16,29,21,8,13,8,5
2019-04-04,17,29,20,9,12,8,5
2019-03-22,18,29,19,9,12,8,5
