Date,CDU,SPD,Grüne,FDP,Linke,AFD,Sonstige
2023-03-04,28,20,18,6,6,14,8
2023-02-25,29,21,17,6,5,15,7
2023-02-18,26,21,18,7,5,15,8
2023-02-11,25,21,19,7,5,15,8
2023-02-04,25,21,19,7,5,15,8
2023-01-28,27,21,19,7,5,14,7
2023-01-21,27,20,20,6,5,14,8
2023-01-14,28,19,18,7,4,14,10
2022-12-24,29,19,18,7,5,14,8
2022-12-17,28,18,19,7,5,14,9
2022-12-10,27,19,19,6,5,15,9
2022-12-03,27,18,20,7,5,14,9
2022-11-26,29,19,19,7,4,13,9
2022-11-19,27,20,19,7,5,13,9
2022-11-12,26,21,20,7,5,14,7
2022-11-05,26,21,19,8,5,14,7
2022-10-29,25,21,20,7,5,15,7
2022-10-22,23,22,20,7,4,16,8
2022-10-15,25,20,21,6,5,15,8
2022-10-08,27,18,20,8,6,14,7
2022-10-01,27,19,21,8,5,13,7
2022-09-24,27,19,20,7,5,14,8
2022-09-17,26,20,21,7,5,13,8
2022-09-10,25,20,21,8,5,12,9
2022-09-03,24,21,22,8,5,12,8
2022-08-27,26,19,23,7,5,12,8
2022-08-20,28,20,23,6,4,12,7
2022-08-13,27,21,22,7,5,11,7
2022-08-06,25,21,23,6,5,11,9
2022-07-30,26,21,22,7,5,11,8
2022-07-23,25,19,23,8,5,11,9
2022-07-16,25,20,24,8,4,11,8
2022-07-09,25,20,24,7,5,10,9
2022-07-02,26,20,25,8,4,10,7
2022-06-25,26,20,24,8,4,10,8
2022-06-18,28,20,22,8,4,9,9
2022-06-11,26,22,23,9,4,8,8
2022-06-04,28,20,23,8,4,8,9
2022-05-28,27,21,21,8,5,9,9
2022-05-21,26,22,21,8,5,10,8
2022-05-14,26,22,20,9,5,10,8
2022-05-07,27,23,19,9,5,9,8
2022-04-30,25,23,20,9,5,9,9
2022-04-23,25,25,19,9,4,9,9
2022-04-16,25,26,19,8,4,10,8
2022-04-09,25,27,19,8,4,10,7
2022-04-02,26,25,18,9,5,9,8
2022-03-26,25,26,18,9,6,9,7
2022-03-19,26,26,19,8,5,9,7
2022-03-12,26,25,19,8,5,10,7
2022-03-05,26,26,17,8,6,10,7
2022-02-26,25,26,17,9,7,10,6
2022-02-19,24,24,16,10,6,12,8
2022-02-12,26,22,16,10,6,12,8
2022-02-05,24,24,17,9,6,11,9
2022-01-29,24,24,18,10,6,10,8
2022-01-22,22,26,17,9,6,12,8
2022-01-15,23,26,17,10,6,10,8
2021-12-27,22,27,16,11,5,11,8
2021-12-18,22,27,16,11,5,10,9
2021-12-11,21,28,15,11,5,11,9
2021-12-04,20,27,16,12,6,11,8
2021-11-27,22,24,18,11,6,11,8
2021-11-20,21,24,18,12,6,11,8
2021-11-13,21,25,16,14,6,10,8
2021-11-06,22,25,16,13,5,10,9
2021-10-30,21,25,17,14,5,11,7
2021-10-23,21,25,16,13,5,11,9
2021-10-14,19,26,17,14,5,10,9
2021-10-09,20,26,17,13,5,10,9
2021-09-23,21,25,16,11,7,11,9
2021-09-16,20,26,17,11,6,12,8
2021-09-09,21,25,17,12,6,12,7
2021-09-02,21,25,19,11,7,11,6
2021-08-26,23,23,18,12,7,11,6
2021-08-19,22,21,19,12,7,11,8
2021-08-11,22,19,21,12,7,11,8
2021-08-04,24,18,22,13,6,11,6
2021-07-30,27,17,19,13,6,11,7
2021-07-23,28,16,19,12,7,11,7
2021-07-16,28,15,20,11,8,11,7
2021-07-10,29,15,19,11,8,11,7
2021-07-02,28,16,20,10,7,11,8
2021-06-25,28,17,19,11,7,10,8
2021-06-18,27,17,20,12,7,10,7
2021-06-11,26,16,21,13,7,11,6
2021-06-05,24,16,22,13,7,11,7
2021-05-28,25,15,23,12,7,12,6
2021-05-21,26,14,24,11,8,11,6
2021-05-15,24,15,25,11,8,11,6
2021-05-08,23,16,26,12,7,10,6
2021-05-01,24,15,27,11,7,10,6
2021-04-24,27,13,28,9,7,10,6
2021-04-18,29,15,22,9,8,11,6
2021-04-11,27,15,22,9,9,11,7
2021-04-04,26,16,23,9,9,10,7
2021-03-27,25,17,23,10,9,10,6
2021-03-20,27,17,22,10,8,10,6
2021-03-14,31,16,19,8,8,11,7
2021-03-07,32,16,19,9,9,10,5
2021-02-27,34,16,18,8,9,9,6
2021-02-20,34,16,19,8,8,9,6
2021-02-14,35,17,18,8,7,10,5
2021-02-07,36,16,19,7,7,9,6
2021-01-31,36,15,19,7,8,9,6
